Event_Timestamp,Ingested_At,Product,Category,Region,Sales,Quantity,Customer_Segment,Rating,Issue_Notes,Customer_Feedback
2026-03-01T08:05:12Z,2026-03-01T08:06:04Z,Widget A,Electronics,North,980.40,30,Premium,3.8,"Morning batch completed on time.","Love the faster dashboard, but the filters still feel clunky."
2026-03-01T10:14:55Z,2026-03-01T10:17:42Z,Widget B,Electronics,South,1125.10,29,Standard,3.9,"Short latency spike around checkout API.","The checkout lag was frustrating and made me lose confidence."
2026-03-01T12:32:08Z,2026-03-01T12:39:50Z,Gadget X,Hardware,East,1260.90,28,Premium,4.0,"Delayed ingest by 7 minutes due to queue backlog.","Loved the export summary, it is clear and genuinely helpful."
2026-03-02T09:01:27Z,2026-03-02T09:02:04Z,Service Y,Services,West,1195.00,27,Standard,3.9,"Support ticket tagged urgent for retry failures.","Retry loop was awful, but support responded quickly and fixed it."
2026-03-02T11:45:16Z,2026-03-02T11:45:54Z,Widget A,Electronics,East,1385.00,26,Premium,4.1,"No anomalies detected in this interval.","Everything ran smoothly today and the forecast looked excellent."
2026-03-02T13:22:40Z,2026-03-02T13:30:09Z,Gadget X,Hardware,North,1490.25,25,Premium,4.2,"Price jump flagged as high-severity anomaly.","Great alert clarity, but I dislike how noisy the notifications are."
2026-03-03T07:58:05Z,2026-03-03T08:04:11Z,Widget B,Electronics,West,1422.70,24,Budget,4.1,"CSV row ordering changed after source system update.","Sorting looked broken at first and gave me a bad first impression."
2026-03-03T10:08:33Z,2026-03-03T10:09:10Z,Service Y,Services,South,1510.00,23,Premium,4.2,"SLA warning triggered at 95th percentile latency.","The new warning context is fantastic and made triage much easier."
2026-03-03T12:19:14Z,2026-03-03T12:25:58Z,Widget A,Electronics,North,1633.30,22,Premium,4.3,"Backfilled two missing records from previous hour.","I appreciate the plain-language explanation, though the popup feels intrusive."
2026-03-03T15:41:52Z,2026-03-03T15:42:27Z,Gadget X,Hardware,South,1680.00,21,Standard,4.2,"Volume drop detected after partner API timeout.","Root-cause hints are missing and that makes debugging painful."
2026-03-04T08:16:09Z,2026-03-04T08:23:45Z,Service Y,Services,East,1758.40,20,Premium,4.4,"Ingestion lag exceeded threshold for 6 minutes.","Lag warning helped a lot, but the color contrast is hard to read."
2026-03-04T09:49:37Z,2026-03-04T09:50:22Z,Widget B,Electronics,North,1828.00,19,Standard,4.3,"Duplicate event IDs detected and auto-deduplicated.","Excellent cleanup, duplicates are gone and reports look much better."
2026-03-04T11:27:50Z,2026-03-04T11:33:08Z,Widget A,Electronics,West,1911.45,18,Budget,4.4,"Customer segment mix shifted unexpectedly.","I am confused by the segment shift explanation and need clearer wording."
2026-03-04T14:05:21Z,2026-03-04T14:06:01Z,Gadget X,Hardware,East,2066.60,17,Premium,4.6,"Anomaly score normalized after model retraining.","Post-retrain trends look accurate, and I trust the model more now."
2026-03-05T07:42:48Z,2026-03-05T07:49:39Z,Service Y,Services,North,1989.90,16,Standard,4.5,"Late-arriving event corrected prior forecast window.","Great correction speed, but I wish alerts arrived a bit earlier."
2026-03-05T10:03:11Z,2026-03-05T10:03:59Z,Widget B,Electronics,South,2075.20,15,Standard,4.6,"No data drift detected in product-level features.","Stable run today, everything feels reliable and polished."
2026-03-05T12:34:56Z,2026-03-05T12:41:20Z,Gadget X,Hardware,West,2222.10,14,Premium,4.7,"Transient nulls found in optional metadata field.","Null handling prevented a crash, but the warning text sounded alarming."
2026-03-05T13:58:44Z,2026-03-05T14:05:13Z,Widget A,Electronics,South,2268.75,13,Premium,4.8,"Rate limiter engaged during traffic burst.","Throughput stayed high, yet not seeing endpoint details is annoying."
2026-03-05T16:22:18Z,2026-03-05T16:22:59Z,Service Y,Services,West,2314.50,12,Standard,4.8,"Three failed retries before eventual success.","Recovery was nice to see, but those retry errors were stressful."
2026-03-06T09:11:03Z,2026-03-06T09:18:27Z,Widget A,Electronics,East,2499.00,11,Premium,4.9,"Forecast confidence dropped below configured floor.","Confidence tooltip was very helpful, though the confidence drop worried me."
